file,year,var_code
WLTH2007_full.csv,2007,S811
WLTH2007_full.csv,2007,S811A
WLTH2007_full.csv,2007,S813
WLTH2007_full.csv,2007,S813A
WLTH2007_full.csv,2007,S814
WLTH2007_full.csv,2007,S814A
WLTH2007_full.csv,2007,S815
WLTH2007_full.csv,2007,S815A
WLTH2007_full.csv,2007,S816
WLTH2007_full.csv,2007,S816A
WLTH2007_full.csv,2007,S817
WLTH2007_full.csv,2007,S817A
WLTH2007_full.csv,2007,S818
WLTH2007_full.csv,2007,S818A
WLTH2007_full.csv,2007,S819
WLTH2007_full.csv,2007,S819A
WLTH2007_full.csv,2007,S820
WLTH2007_full.csv,2007,S820A
FAM2009ER_full.csv,2009,CHILD
FAM2009ER_full.csv,2009,ER42001
FAM2009ER_full.csv,2009,ER42002
FAM2009ER_full.csv,2009,ER42003
FAM2009ER_full.csv,2009,ER42004
FAM2009ER_full.csv,2009,ER42005
FAM2009ER_full.csv,2009,ER42006
FAM2009ER_full.csv,2009,ER42007
FAM2009ER_full.csv,2009,ER42008
FAM2009ER_full.csv,2009,ER42009
FAM2009ER_full.csv,2009,ER42010
FAM2009ER_full.csv,2009,ER42011
FAM2009ER_full.csv,2009,ER42012
FAM2009ER_full.csv,2009,ER42013
FAM2009ER_full.csv,2009,ER42014
FAM2009ER_full.csv,2009,ER42015
FAM2009ER_full.csv,2009,ER42016
FAM2009ER_full.csv,2009,ER42017
FAM2009ER_full.csv,2009,ER42018
FAM2009ER_full.csv,2009,ER42019
FAM2009ER_full.csv,2009,ER42020
FAM2009ER_full.csv,2009,ER42021
FAM2009ER_full.csv,2009,ER42022
FAM2009ER_full.csv,2009,ER42023
FAM2009ER_full.csv,2009,ER42024
FAM2009ER_full.csv,2009,ER42025
FAM2009ER_full.csv,2009,ER42026
FAM2009ER_full.csv,2009,ER42027
FAM2009ER_full.csv,2009,ER42028
FAM2009ER_full.csv,2009,ER42029
FAM2009ER_full.csv,2009,ER42030
FAM2009ER_full.csv,2009,ER42031
FAM2009ER_full.csv,2009,ER42032
FAM2009ER_full.csv,2009,ER42033
FAM2009ER_full.csv,2009,ER42034
FAM2009ER_full.csv,2009,ER42035
FAM2009ER_full.csv,2009,ER42036
FAM2009ER_full.csv,2009,ER42037
FAM2009ER_full.csv,2009,ER42038
FAM2009ER_full.csv,2009,ER42039
FAM2009ER_full.csv,2009,ER42040
FAM2009ER_full.csv,2009,ER42041
FAM2009ER_full.csv,2009,ER42042
FAM2009ER_full.csv,2009,ER42043
FAM2009ER_full.csv,2009,ER42044
FAM2009ER_full.csv,2009,ER42045
FAM2009ER_full.csv,2009,ER42046
FAM2009ER_full.csv,2009,ER42047
FAM2009ER_full.csv,2009,ER42048
FAM2009ER_full.csv,2009,ER42049
FAM2009ER_full.csv,2009,ER42050
FAM2009ER_full.csv,2009,ER42051
FAM2009ER_full.csv,2009,ER42052
FAM2009ER_full.csv,2009,ER42053
FAM2009ER_full.csv,2009,ER42054
FAM2009ER_full.csv,2009,ER42055
FAM2009ER_full.csv,2009,ER42056
FAM2009ER_full.csv,2009,ER42057
FAM2009ER_full.csv,2009,ER42058
FAM2009ER_full.csv,2009,ER42059
FAM2009ER_full.csv,2009,ER42060
FAM2009ER_full.csv,2009,ER42061
FAM2009ER_full.csv,2009,ER42062
FAM2009ER_full.csv,2009,ER42063
FAM2009ER_full.csv,2009,ER42064
FAM2009ER_full.csv,2009,ER42065
FAM2009ER_full.csv,2009,ER42066
FAM2009ER_full.csv,2009,ER42067
FAM2009ER_full.csv,2009,ER42068
FAM2009ER_full.csv,2009,ER42069
FAM2009ER_full.csv,2009,ER42070
FAM2009ER_full.csv,2009,ER42071
FAM2009ER_full.csv,2009,ER42072
FAM2009ER_full.csv,2009,ER42073
